article,pageviews
"Albert_I,_Prince_of_Monaco",1437
Albert_Overhauser,2325
Alcubierre_drive,267233
Aleksandr_Akimov,77016
Aleksandr_Popov_(physicist),111
Alenush_Terian,228
Alessandro_Volta,69834
Alexander's_band,560
Alexander_Efros,635
Alexander_Friedmann,437
Alexander_Graham_Bell,624183
Alexandr_Shiplyuk,106
Alfred_Kleiner,555
Alfred_Perot,91
Alfred_University,6664
Alfred_Wegener,58773
Allais_effect,21896
Allan_MacLeod_Cormack,1177
Allyn_Vine,2084
Alpenglow,15656
Alpha_decay,37041
Alpha_particle,92796
Alpha_process,383
Altermagnetism,6721
Alternative_approaches_to_redefining_the_kilogram,1829
Alternatives_to_general_relativity,201
Alternatives_to_the_Standard_Higgs_Model,264
Alvin_C._Graves,4788
Amaterasu_particle,7219
Ambient_pressure,2341
Ambipolar_diffusion,296
American_Astronomical_Society,217
American_Geophysical_Union,1480
American_Prometheus,530792
Ames_window,4712
Amorphous_ice,5815
Amorphous_metal,13338
Amorphous_solid,32704
Amory_Lovins,267
Amount_of_substance,1079
Ampere,218043
Ampere-hour,8428
Amplified_spontaneous_emission,209
Amplitude,34357
Amplituhedron,6119
Analytical_mechanics,255
Anatoli_Bugorski,204412
Anatoly_Blagonravov,187
Anatoly_Dyatlov,238335
Anatoly_Maslov,1175
Anaxagoras,10684
Anaximander,40743
Anderson_localization,614
Andre_Geim,3221
Andrea_M._Ghez,3192
Andrei_Sakharov,90942
Andrew_J._Feustel,150
Andrew_Strominger,3001
Andrey_Kolmogorov,15999
Anechoic_chamber,38623
Anemometer,39887
Aneutronic_fusion,910
Angle_of_attack,31859
Angle_of_incidence_(optics),1928
Angle_of_list,13181
Angle_of_repose,8194
Angstrom,72659
Angular_acceleration,11151
Angular_diameter_distance,222
Angular_frequency,48635
Angular_momentum,169947
Angular_momentum_operator,15441
Angular_velocity,61077
Anidolic_lighting,97
Anil_Kumar_(physicist),120
Animal_echolocation,22197
Anisotropy,30299
Anne_L'Huillier,24786
Annihilation,22336
Annus_mirabilis,1803
Annus_mirabilis_papers,32661
Antarctic_Impulsive_Transient_Antenna,1306
Antarctic_Muon_And_Neutrino_Detector_Array,208
Antenna_(radio),51409
Anthony_Zee,244
Anthropic_principle,250540
Anti-de_Sitter_space,8493
Anti-gravity,59920
Anti-reflective_coating,2006
Anti-shock_body,126
Anticrepuscular_rays,11700
Antiferromagnetism,2109
Antihydrogen,1956
Antimatter,361269
Antimatter-catalyzed_nuclear_pulse_propulsion,523
Antimatter_rocket,208
Antimatter_weapon,17772
Antineutron,497
Antiparticle,12452
Antiproton,1732
Antistatic_agent,117
Anton_Zeilinger,994
Antoni_van_Leeuwenhoek,377
Antonie_van_Leeuwenhoek,95354
Antony_Garrett_Lisi,1948
Antony_Hewish,986
Anyon,2271
Apache_Point_Observatory_Lunar_Laser-ranging_Operation,285
Aperture,74429
Apparent_magnitude,91332
Applications_of_quantum_mechanics,727
Applied_Physics_Laboratory,5981
Applied_Physics_Letters,222
Applied_physics,613
Apsis,234846
ArXiv,101142
Arago_spot,1910
Archaeoacoustics,883
Archer's_paradox,298
Archibald_Low,455
Archimedean_spiral,38898
Archimedes,943753
Archimedes'_heat_ray,20905
Archimedes'_principle,89227
Archimedes'_screw,88880
Archytas,233
Area_density,268
Area_rule,949
Ares_Vallis,1165
Argon_fluoride_laser,753
Argonne_National_Laboratory,65660
Arianna_W._Rosenbluth,107
Aristotelian_physics,2057
Aristotle,1104195
Armstrong_limit,5157
Arne_Slettebak,1363
Arno_Allan_Penzias,11834
Arnold_Nordsieck,3449
Arnold_Sommerfeld,1109
Arpad_Elo,5932
Arrow_of_time,15555
Arthur_B._C._Walker_Jr.,115
Arthur_Compton,16937
Arthur_Eddington,20837
Artificial_gravity,31670
Artificial_photosynthesis,215
Ash,3444
Aspect's_experiment,495
Aspect_ratio_(aeronautics),5297
Aspheric_lens,183
Associated_Legendre_polynomials,3911
Asteroseismology,493
Astronomical_seeing,395
Astronomical_spectroscopy,105
Astronomy,227930
Astroparticle_Physics_(journal),239
Astrophysical_jet,18499
Astrophysics,120146
Asymptotic_freedom,108
Asymptotic_safety_in_quantum_gravity,1292
Atacama_Large_Millimeter_Array,1619
Atish_Dabholkar,121
Atkinson_cycle,45596
Atmos_clock,1110
Atmosphere,88942
Atmosphere_of_Earth,97641
Atmosphere_of_Titan,1414
Atmospheric-pressure_chemical_ionization,405
Atmospheric_electricity,332
Atmospheric_entry,86035
Atmospheric_methane,834
Atmospheric_optics,712
Atmospheric_pressure,491192
Atmospheric_refraction,2088
Atom,384393
Atomic_Energy_of_Canada_Limited,104
Atomic_battery,28998
Atomic_clock,151270
Atomic_emission_spectroscopy,776
Atomic_force_microscopy,27926
Atomic_form_factor,148
Atomic_gardening,12567
Atomic_layer_deposition,526
Atomic_nucleus,63666
Atomic_number,171967
Atomic_orbital,121451
Atomic_packing_factor,632
Atomic_physics,932
Atomic_radius,28531
Atomic_units,977
Atomism,37095
Attenuation,15239
Attenuation_coefficient,2317
Attophysics,8876
Attosecond_chronoscopy,99
Attosecond_physics,5615
Atwood_machine,2388
Audio_frequency,4587
Aufbau_principle,27796
Auger_effect,104
Auguste_Piccard,18436
Augustin-Jean_Fresnel,4974
Augustin-Louis_Cauchy,21140
Aurora,1129991
Austenitic_stainless_steel,14813
Automobile_drag_coefficient,2792
Automotive_battery,15223
Autoradiograph,252
Autorotation,20526
Auxetics,334
Avalanche_breakdown,92
Avalanche_photodiode,91
Avi_Loeb,85530
Avogadro's_law,4508
Avogadro_constant,276332
Avshalom_Elitzur,1031
Axial_precession,63368
Axial_tilt,76626
Axion,39355
Azeotrope,17396
Azimuthal_quantum_number,388
B-theory_of_time,1533
BCS_theory,7011
B_Reactor,1534
Background_radiation,4485
Backscatter,298
Backscatter_(photography),13449
Backscatter_X-ray,719
Ball_lightning,509468
Ballistic_coefficient,23431
Ballistic_pendulum,185
Ballistics,13771
Balmer_series,28436
Banana_equivalent_dose,101810
Band_gap,26702
Banked_turn,378
Bar_(unit),89155
Barlow_lens,335
Barn_(unit),2646
Baroclinity,1050
Barometric_formula,4647
Barrier-grid_animation_and_stereography,2227
Barry_Barish,1944
Barycenter_(astronomy),24562
Baryogenesis,1034
Baryon,85623
Baryon_acoustic_oscillations,7556
Baryon_asymmetry,3160
Baryon_number,378
Battelle_Memorial_Institute,30626
Beaker_(laboratory_equipment),1610
Beam_divergence,107
Beam_splitter,2075
Beat_(acoustics),29373
Beaufort_scale,156603
Becquerel,40287
Bed_of_nails,2337
Bedford_Level_experiment,1607
Behavior_of_nuclear_fuel_during_a_reactor_accident,161
Bekenstein_bound,1379
Bell's_spaceship_paradox,418
Bell's_theorem,116792
Bell_Labs,393407
Bell_Labs_Holmdel_Complex,33058
Bell_state,5546
Bell_test,2341
Belt_of_Venus,1174
Bending,322
Bending_moment,690
Beno_Gutenberg,139
Bergmann's_rule,27040
Bernard_Eastlund,589
Bernard_Katz,105
Bernard_Peters,1534
Bernardo_Huberman,57312
Bernoulli's_principle,422535
Berry_connection_and_curvature,95
Berserker_hypothesis,32787
Bertrand's_theorem,631
Bertrand_Halperin,1395
Beryl_May_Dent,1987
Beta-M,536
Beta_decay,110400
Beta_particle,51540
Betatron,90
Bethe_ansatz,264
Betz's_law,344
Beverly_Clock,6975
Bezold_effect,183
Bhangmeter,1820
Bidirectional_reflectance_distribution_function,499
Bifilar_coil,114
Bifurcation_theory,5836
Big_Bang,941593
Big_Bang_nucleosynthesis,3771
Big_Bounce,52031
Big_Crunch,87367
Big_Freeze,1012
Big_Ring,6125
Big_Rip,61522
Bimetallic_strip,1035
Binary_star,103144
Binaural_recording,413
Binding_energy,1711
Bingham_plastic,2400
Binocular_disparity,1127
Binoculars,2686
Biological_effects_of_high-energy_visible_light,165
Biomaterial,105
Biomechanics,7749
Biophoton,319
Biophysics,6404
Biot_number,758
Biplane,58937
Bird_flight,1193
Birds_in_a_truck_riddle,573
Birefringence,47931
Birkeland_current,603
Bismuth_strontium_calcium_copper_oxide,461
Bitter_electromagnet,252
Black-body_radiation,248869
Black_body,83862
Black_hole,1392417
Black_hole_bomb,162
Black_hole_cosmology,12357
Black_hole_electron,20538
Black_hole_information_paradox,40853
Black_hole_starship,1152
Black_hole_thermodynamics,9741
Black_star_(semiclassical_gravity),1071
Blacklight,75439
Blaise_Pascal,358539
Blasius_boundary_layer,584
Blast_wave,480
Blazar,13650
Blended_wing_body,11920
Bloch's_theorem,4428
Bloch_sphere,22815
Blown_flap,646
Blue_laser,145
Blue_lava,5082
Bode_plot,27973
Boeing_X-53_Active_Aeroelastic_Wing,6197
Bogdanov_affair,12134
Bohr_magneton,4560
Bohr_model,136981
Bohr_radius,11596
Boiling_point,113903
Boiling_water_reactor,13521
Bolometer,297
Boltzmann's_entropy_formula,9154
Boltzmann_Medal,319
Boltzmann_brain,349855
Boltzmann_constant,345063
Boltzmann_distribution,55053
Boltzmann_equation,11916
Boltzmann_machine,14622
Boosted_fission_weapon,3985
Bootstrap_paradox,90406
Born_rule,9158
Borophene,231
Borosilicate_glass,140804
Boson,116236
Bottom_quark,2008
Bottomness,139
Bouguer_anomaly,110
Bound_state,240
Boundary_layer,6173
Boundary_layer_thickness,1156
Bow_shock,508
Bow_wave,1430
Bowling_ball,8103
Boyle's_law,150981
Brachistochrone_curve,62831
Bragg's_law,31392
Branches_of_physics,12446
Brane,5178
Brane_cosmology,2896
Bravais_lattice,11127
Brayton_cycle,12424
Breaking_wave,2684
Breakthrough_Prize_in_Fundamental_Physics,380
Breit_equation,321
Bremsstrahlung,43292
Brewster's_angle,11539
Brian_Cartwright,126
Brian_Cox_(physicist),368276
Brian_Greene,85269
Brian_Josephson,584
Brian_May,1004887
Brian_Schmidt,148
Brian_Wecht,10405
Bridge_scour,217
Brightness,1048
Brillouin_zone,7564
Brocken_spectre,48691
Broken_symmetry,442
Brookhaven_National_Laboratory,35942
Brown_dwarf,134941
Brown_note,82713
Brownian_motion,169627
Brownian_noise,66734
Brownian_ratchet,952
Bruce_Allen_(physicist),590
Bruce_Maccabee,983
Bruce_T._Draine,167
Bubble_chamber,1296
Bubble_fusion,856
Bubble_ring,1994
Bucket_argument,8796
Buckling,3479
Bulk_density,99
Bulk_modulus,18684
Bulletin_of_the_Atomic_Scientists,2505
Bulletproof_glass,3805
Buoyancy,83650
Burette,189
Burgers'_equation,2993
Burgers_vector,100
Burkhard_Heim,2893
Buttered_toast_phenomenon,4139
Butterfly_effect,479782
C*-algebra,1631
C-symmetry,200
C._Bruce_Tarter,155
C._K._Raju,485
C._R._Hagen,109
C._V._Raman,83141
CBRN_defense,45787
CERN,442367
CHSH_inequality,308
CLOUD_experiment,524
CMB_cold_spot,6485
CNO_cycle,5178
COMPASS_tokamak,119
CPT_symmetry,3516
CP_violation,14319
CRC_Handbook_of_Chemistry_and_Physics,100
CT-scans,1509
CT_Scan,1002
CT_scan,485238
CUORE,556
C_band_(IEEE),5282
Caesium_standard,7874
Caloric_theory,279
Calorie,156061
Calorimeter_(particle_physics),219
Calorimetry,2975
Calutron,39286
Calutron_Girls,1717
Camera_lens,377
Canadian_Light_Source,101
Canard_(aeronautics),56236
Candela_per_square_metre,1175
Canonical_commutation_relation,5496
Canonical_ensemble,317
Canonical_transformation,211
Capacitance,82935
Capillary_action,61246
Capillary_length,109
Capstan_equation,660
Carbon-dioxide_laser,1093
Carbon_disulfide,9943
Carbon_nanotube,52005
Carbotanium,3569
Carl_A._Rouse,109
Carl_Eckart,292
Carl_Friedrich_Gauss,315186
Carl_R._Disch,19218
Carl_Sagan,1066731
Carl_Wieman,335
Carla_Faria,93
Carlo_Rovelli,10407
Carnival_glass,16240
Carnot's_theorem_(thermodynamics),210
Carnot_cycle,39935
Carnot_heat_engine,10321
Carolyn_Parker,2005
Carrier_generation_and_recombination,327
Cartoon_physics,96
Casimir_effect,104098
Cat_state,102
Catastrophic_optical_damage,105
Cathode,15426
Cathode_ray,2761
Cathodoluminescence,541
Catholic_University_of_America,120836
Cauchy_stress_tensor,36188
Causal_sets,690
Causality,126188
Causality_(physics),9202
Caustic_(optics),2986
Cavendish_Laboratory,12369
Cavendish_experiment,20268
Cavitation,99392
Cecilia_Payne-Gaposchkin,172206
Celestial_mechanics,1077
Celestial_spheres,40562
Center-of-momentum_frame,126
Center_of_mass,49000
Centimetre,11950
Centrifugal_compressor,1480
Centrifugal_force,109380
Centrifuge,28239
Centripetal_force,77903
Ceramic,131911
CfA2_Great_Wall,1251
Chain-melted_state,3526
Chain_reaction,740
Chalk_River_Laboratories,5514
Chalkboard_scraping,195
Chanda_Prescod-Weinstein,1715
Chandra_X-ray_Observatory,24816
Chandrasekhar_family,1026
Chandrasekhar_limit,22829
Chaos_theory,558543
Characteristic_X-ray,583
Characteristic_impedance,3251
Characteristic_length,92
Charge_conservation,254
Charge_density,4289
Charged_particle,3596
Charles's_law,34575
Charles-Augustin_de_Coulomb,1475
Charles_F._McMillan,5623
Charles_H._Townes,1040
Charles_K._Kao,103
Charles_Kittel,345
Charles_Panati,181
Charles_Richter,378
Charles_W._Misner,539
Charles_Wheatstone,161
Charm_(quantum_number),123
Charm_quark,15877
Charpy_impact_test,4921
Chart_datum,94
Cheerios_effect,248
Cheikh_Anta_Diop,17373
Chemical_laser,236
Chemical_oxygen_iodine_laser,8285
Chemical_potential,16070
Chemical_shift,205
Chemical_vapor_deposition,7990
Chemiluminescence,1247
Cherenkov_radiation,268050
Chester_Carlson,871
Chiara_Marletto,198
Chiara_Nappi,46869
Chicago_Pile-1,165181
Chien-Shiung_Wu,66553
Chimney,5752
China_Jinping_Underground_Laboratory,292
Chirality,48329
Chirality_(physics),573
Chirped_pulse_amplification,112
Choke_(electronics),95
Choked_flow,16816
Chord_(aeronautics),378
Chris_Hirata,94
Christer_Fuglesang,879
Christiaan_Huygens,52466
Christian_Christiansen_(physicist),125
Christian_Doppler,4316
Christoffel_symbols,13622
Christopher_Bishop,231
Christopher_Wren,44626
Chromatic_aberration,52262
Chromosphere,3605
Chronology_of_the_universe,259209
Chronometry,1552
Chronon,199
Circular_dichroism,1377
Circular_motion,3961
Circular_polarization,24210
Circulator_pump,98
Circumhorizontal_arc,24822
Circumstellar_habitable_zone,11021
Circumzenithal_arc,2957
Clarivate_Citation_Laureates,113
Classical_Electrodynamics_(book),418
Classical_electromagnetism,95
Classical_electron_radius,131
Classical_field_theory,583
Classical_mechanics,75424
Classical_physics,35886
Classical_thermodynamics,235
Claude-Louis_Navier,124
Claude_Cohen-Tannoudji,416
Claudia_de_Rham,5158
Clifford_V._Johnson,517
Cloaking_device,7614
Close-packing_of_equal_spheres,1043
Closed_system,406
Closed_timelike_curve,4066
Closed_wing,6375
Cloud_chamber,26205
Cloud_condensation_nuclei,94
Cloud_iridescence,150212
Cloud_physics,271
Coaxial-rotor_aircraft,783
Cobalt_bomb,96484
Coded_aperture,92
Coefficient_of_performance,24438
Coefficient_of_restitution,8040
Coercivity,571
Coffin_corner_(aerodynamics),8871
Coherence_(physics),32135
Coherent_anti-Stokes_Raman_spectroscopy,93
Coherent_state,7076
Coincidence_rangefinder,360
Cold,691
Cold_fission,1086
Cold_fusion,239649
Collider,2886
Colligative_properties,96
Collimated_beam,1191
Collimator,798
Collision_detection,111
Colloid,80882
Color_charge,13969
Color_confinement,516
Color_superconductivity,5031
Colors_of_noise,110858
Combustibility_and_flammability,15989
Combustion,76492
Commonwealth_Fusion_Systems,4510
Communicating_vessels,149
Commutator_(electric),15125
Comoving_and_proper_distances,295
Compact_Muon_Solenoid,109
Compact_object,754
Comparison_of_the_Chernobyl_and_Fukushima_nuclear_accidents,104
Comparison_of_the_imperial_and_US_customary_measurement_systems,733
Complementarity_(physics),815
Complex_dynamics,109
Compressibility,1303
Compressibility_factor,3267
Compressible_flow,567
Compression_lift,231
Compressor,8052
Compton_Gamma_Ray_Observatory,97
Compton_Spectrometer_and_Imager,134
Compton_generator,90
Compton_scattering,47780
Compton_wavelength,2247
Computational_fluid_dynamics,28729
Computational_science,3426
Condensation,18479
Condensed_matter_physics,35569
Conductivity_(electrolytic),14227
Conductor_gallop,179
Cone_beam_computed_tomography,279
Confocal_microscopy,28118
Conformal_cyclic_cosmology,4422
Conformal_field_theory,411
Conical_pendulum,203
Conjugate_variables,106
Conservation_law,4687
Conservation_of_energy,156774
Conservation_of_mass,72621
Conservation_of_momentum,538
Conservative_force,2260
Conservative_vector_field,4558
Constitutive_equation,178
Constructor_theory,808
Contact_angle,7132
Contact_force,1641
Contact_mechanics,7330
Contact_resistance,3705
Continent_of_stability,1177
Continuity_equation,27208
Continuous_wave,187
Continuum_mechanics,8560
Contour_line,22629
Contrast_effect,1131
Control_rod,8557
Controlled_NOT_gate,6192
Convection,59382
Convective_available_potential_energy,3036
Conversion_of_scales_of_temperature,227
Conversion_of_units,1628
Cooper_pair,5139
Coordinate_system,44157
Copenhagen_(play),1556
Copenhagen_interpretation,84434
Copernican_principle,1682
Coriolis_force,53040
Corium_(nuclear_reactor),177709
Corner_reflector,3601
Corona_(optical_phenomenon),1414
Corona_discharge,43970
Coronal_mass_ejection,142420
Corpuscular_theory_of_light,493
Cosmic_age_problem,621
Cosmic_censorship_hypothesis,292
Cosmic_inflation,22687
Cosmic_microwave_background,309809
Cosmic_noise,99
Cosmic_ray,116283
Cosmic_ray_spallation,1038
Cosmic_ray_visual_phenomena,214
Cosmic_string,9259
Cosmogenic_nuclide,109
Cosmogony,62774
Cosmological_constant,76533
Cosmological_constant_problem,3669
Cosmological_horizon,485
Cosmological_natural_selection,124
Cosmological_principle,2731
Cosmology,165823
Cosmos,68481
Cotton_tensor,405
Couette_flow,91
Coulomb,111456
Coulomb's_law,272443
Coulomb_barrier,249
Coulomb_constant,2384
Coulomb_explosion,5641
Counter-electromotive_force,631
Counts_per_minute,3717
Couple_(mechanics),97
Coupling_constant,508
Course_of_Theoretical_Physics,1423
Covariant_derivative,4404
Creation_and_annihilation_operators,19081
Crest_and_trough,2902
Crest_factor,188
Critical_Mach_number,114
Critical_mass,74606
Critical_point_(thermodynamics),27093
Criticality_(status),961
Criticality_accident,78257
Criticism_of_the_theory_of_relativity,1769
Crookes_radiometer,14990
Cross-entropy,106108
Cross-polarization,1239
Cross_product,340791
Cross_sea,24386
Cross_section_(physics),5306
Crowbar_(circuit),653
Cryogenic_electron_microscopy,4299
Cryogenic_storage_dewar,832
Cryogenics,60818
Cryometer,100
Crystal,254142
Crystal_structure,62148
Crystal_system,5757
Crystal_twinning,2560
Crystallization,8123
Crystallographic_point_group,105
Crystallography,11689
Cubic_crystal_system,46064
Cubic_equations_of_state,217
Cubic_metre,4767
Cumrun_Vafa,282
Curie_(unit),11978
Curie_temperature,24405
Curl_(mathematics),67556
Current_density,9660
Curveball,29917
Curved_mirror,3739
Cyclic_model,1045
Cyclone,219017
Cyclotron,135597
Cylinder_stress,5379
Cymatics,70537
Czochralski_method,10636
D'Alembert's_principle,91
DEMOnstration_Power_Plant,212
DNA_microarray,1480
Dalton's_law,1582
Dalton_(unit),93828
Damping,67579
Dan_Shechtman,137
Daniel_Bernoulli,37038
Daniel_Friedan,199
Daniel_Gabriel_Fahrenheit,31006
Darcy's_law,25078
Darcy_friction_factor_formulae,12898
Dark-energy_star,1313
Dark_Energy_Spectroscopic_Instrument,1656
Dark_Matter_and_the_Dinosaurs,732
Dark_energy,313935
Dark_flow,8266
Dark_fluid,956
Dark_forest_hypothesis,526344
Dark_galaxy,135
Dark_matter,806850
Dark_photon,1328
Dark_star_(dark_matter),6378
Darkness,6954
Data_acquisition,1152
Data_analysis,107213
Data_processing_inequality,501
Data_science,180515
David_Alter,977
David_Bohm,92586
David_Deutsch,23106
David_Evans_(mathematician),334
David_Goodstein,820
David_Gross,2299
David_Hilbert,84125
David_J._C._MacKay,2021
David_J._Griffiths,93
David_L._Hill,343551
David_Medved,288
David_Saltzberg,12088
David_Spergel,536
David_Strangway,249
David_Wallace_(physicist),133
Day's_journey,302
Day_length_fluctuations,126
Daylight,12748
De_Laval_nozzle,4540
De_Sitter_space,3844
De_revolutionibus_orbium_coelestium,1663
Dead_time,603
Dead_water,1403
Death_ray,16630
Debye_length,7464
Debye_model,2070
Decay_chain,5639
Decibel,324938
Decoherence,364
Decoupling_(cosmology),374
Deep_Impact_(spacecraft),410
Deep_Underground_Neutrino_Experiment,714
Deep_inelastic_scattering,127
Defenestration,345975
Deflagration,11167
Deflagration_to_detonation_transition,108
Deformation_(engineering),1736
Degassing,230
Degaussing,45707
Degenerate_energy_levels,2305
Degenerate_matter,53301
Degree_(temperature),211
Delayed-choice_quantum_eraser,6943
Delocalized_electron,634
Delta-v,30637
Delta-v_budget,718
Demetrios_Christodoulou,2311
Deng_Jiaxian,115
Denis_Rancourt,3532
Dennis_W._Sciama,1469
Density,141394
Density_functional_theory,50554
Density_matrix,30547
Density_of_air,77797
Density_of_states,8242
Depletion_region,1471
Deposition_(phase_transition),3214
Depth_of_field,27304
Derecho,595173
Derek_Muller,76469
Derivations_of_the_Lorentz_transformations,439
Detailed_balance,97
Determinism,276358
Deterministic_system,3902
Detonation,191
Detonation_velocity,98
Deuterium,252068
Deuterium-depleted_water,2248
Deuterium_fusion,1414
Deutsche_Physik,5555
Dew,2734
Dew_point,423912
Dialogue_Concerning_the_Two_Chief_World_Systems,1006
Diamagnetism,74981
Diamond_Light_Source,1369
Diamond_anvil_cell,332
Diamond_cubic,3518
Diamond_dust,2503
Diamond_simulant,340
Diaphragm_(acoustics),159
Diatomic_carbon,427
Dielectric,78880
Dielectric_heating,577
Dielectric_loss,193
Dielectric_strength,3605
Differential_entropy,275
Differential_interference_contrast_microscopy,96
Differential_scanning_calorimetry,18497
Diffraction,74457
Diffraction-limited_system,12501
Diffraction_grating,28002
Diffuse_reflection,188
Diffuse_sky_radiation,126
Diffusion,53702
Diffusion-limited_aggregation,216
Diffusion_equation,8756
Digital_object_identifier,705911
Digital_physics,1709
Dihedral_(aeronautics),4380
Dimension,151018
Dimensional_analysis,67220
Dimensionless_numbers_in_fluid_mechanics,405
Dimensionless_physical_constant,249
Dimensionless_quantity,7531
Diode,162950
Dipole,22297
Dipole_repeller,121
Dirac,498
Dirac_Medal_(ICTP),168
Dirac_delta_function,254985
Dirac_equation,112190
Dirac_fermion,231
Dirac_large_numbers_hypothesis,178
Dirac_matter,192
Dirac_sea,324
Dirac_spinor,99
Direct_and_indirect_band_gaps,633
Directed-energy_weapon,610748
Disappearing_polymorph,37886
Discovery_of_cosmic_microwave_background_radiation,317
Discovery_of_nuclear_fission,42159
Discovery_of_the_neutron,784
Dislocation,1182
Dispersion_(optics),9726
Dispersion_relation,4471
Dispersive_prism,542
Displacement_(fluid),684
Displacement_(geometry),1471
Displacement_current,1034
Distance,7114
Distance_measure,364
Distortion_(optics),2062
Distribution_of_lightning,97
Divergence,79425
Divergence_theorem,78847
Dollar_(reactivity),1879
Donald_Howard_Menzel,117
Donald_N._Langenberg,165
Donald_William_Kerst,1500
Donna_Strickland,1296
Dopant,322
Doping_(semiconductor),31086
Doppler_effect,205500
Dorian_Abbot,176
Dosimeter,1451
Double-slit_experiment,612551
Double_copy_theory,225
Double_inverted_pendulum,94
Double_pendulum,16405
Doubly_ionized_oxygen,824
Doubly_special_relativity,194
Down_quark,91
Downburst,113593
Drag-reducing_aerospike,349
Drag_(physics),68866
Drag_coefficient,74394
Drag_equation,6291
Dressed_particle,186
Drift_velocity,1034
Drinking_bird,44947
Driven_and_parasitic_elements,278
Drop_(liquid),880
Drop_(unit),1177
Drude_model,2684
Dry-bulb_temperature,105
Dry_ice,255940
Ductility,47265
Duncan_Haldane,127
Durmus_A._Demir,94
Dust_devil,139658
Dust_solution,95
Dutch_roll,182484
Dwight_Smith_Young,290
Dyadics,1679
Dye-sensitized_solar_cell,252
Dye_laser,145
Dynamic_light_scattering,1569
Dynamic_pressure,4425
Dynamical_system,57442
Dynamics_of_the_celestial_spheres,149
Dynamo_theory,10607
Dyne,5335
Dyson's_eternal_intelligence,109
E._C._George_Sudarshan,621
EKIP,119
EMF_measurement,1224
EPNdB,99
EPOXI,156
ER_=_EPR,428
E_band_(waveguide),262
Early_life_of_Isaac_Newton,1236
Earnshaw's_theorem,653
Earth's_internal_heat_budget,4896
Earth's_magnetic_field,181767
Earth's_rotation,168834
Earth's_shadow,1287
Earth_observation,218
Earth_tide,173
Ebullioscopic_constant,133
Eccentric_anomaly,108
Echo,6940
Echo_chamber,285
Echogenicity,10066
Eclipse,186289
Eclipses_in_history_and_culture,6331
Eclipses_in_mythology_and_culture,1413
Ecliptic,74081
Econophysics,156
Ed_Lu,1986
Eddington_experiment,8117
Eddington_luminosity,4280
Eddy_(fluid_dynamics),5300
Eddy_current,47483
Edith_Anne_Stoney,124
Edmond_Becquerel,100
Edmond_Halley,35935
Edward_Bouchet,7470
Edward_Condon,8312
Edward_Teller,1384882
Edward_Witten,557184
